technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,electricity,4068.777193582659,3997.967358178867,3927.1575227750727,3856.347687371278,3785.537851967483,3714.7280165636885,3643.918181159894,3573.1083457561,3502.298510352305,3435.7798765353114,3704.8929897450307,3913.2090853774216,3837.82943848296,6315.785905647623
BF_BOF,coal,94869.21900441464,89876.1022147086,84882.98542500257,79889.86863529653,74896.7518455905,69903.63505588447,64910.518266178435,59917.4014764724,54924.28468676637,49931.16789706033,44938.0511073543,39947.730918031404,34954.614128325375,13643.955050589879
BF_BOF,iron_ore,166629.26927698468,157859.30773609076,149089.34619519682,140319.3846543029,131549.42311340896,122779.46157251502,114009.5000316211,105239.53849072717,96469.57694983324,87699.61540893931,78929.65386804538,70164.60430474748,61394.642763853546,23964.38258885658
BF_BOF,limestone,32839.34503998968,31110.958458937595,29382.571877885504,27654.185296833417,25925.798715781326,24197.41213472924,22469.02555367715,20740.638972625064,19012.252391572973,17283.865810520885,15555.479229468796,13828.060702395487,12099.6741213434,4722.907517511881
BF_BOF,scrap,15203.400481476703,14403.221508767403,13603.042536058103,12802.863563348803,12002.684590639503,11202.505617930203,10402.326645220903,9602.147672511603,8801.968699802303,8001.789727093002,7201.6107543837015,6401.879954812725,5601.700982103425,2186.531258107352
BF_BOF_CCS,electricity,22.885692130748883,22.885692130748883,6281.142579443724,11834.741369588677,14734.03081576558,17820.182643859916,20603.70838247408,20554.13658027744,20409.479391522018,19719.006078632403,18321.030946896182,16365.40741120578,14319.874695394199,5589.526062475181
DAC,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4924333794940545,23.44926153193856,39.57653850642881,22440.318224373314,23190.130244217875,25807.86711909325
DRI,iron_ore,32273.557815282184,30646.923133793254,43858.04291729088,40549.32196693229,35798.86412619563,32629.450734769624,35453.45160777694,81033.91505617145,105853.22307242521,107227.42023479372,106165.38592815012,105103.05638655527,104041.02207991164,104701.61816065926
DRI,natural_gas,60568.18384511862,57515.45848396816,82308.9298584774,76099.41245848939,67184.16966149044,61236.09247484163,66535.92972966356,152077.3474341848,198656.04877975694,201235.0215365307,199241.888659679,197248.2017117544,195255.0688349027,196494.81764397697
EAF,direct_reduced_iron,54932.79578418635,61675.766055399225,68418.73632661215,75161.70659782503,81904.67686903787,88647.6471402508,95390.61741146367,102133.58768267656,108876.55795388944,115619.52822510232,122362.49849631521,129101.8833824215,135844.85365363437,163507.74993514112
